@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\bayer_rgb.v":82:2:82:7|Removing sequential instance data_tmp4[1] (in view: work.bayer_rgb(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\bayer_rgb.v":82:2:82:7|Removing sequential instance data_tmp4[2] (in view: work.bayer_rgb(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\bayer_rgb.v":156:0:156:5|Removing sequential instance shift_data1_d1[0] (in view: work.bayer_rgb(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\bayer_rgb.v":156:0:156:5|Removing sequential instance shift_data1_d1[1] (in view: work.bayer_rgb(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\bayer_rgb.v":82:2:82:7|Removing sequential instance data_tmp3[0] (in view: work.bayer_rgb(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\bayer_rgb.v":82:2:82:7|Removing sequential instance data_tmp3[1] (in view: work.bayer_rgb(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\bayer_rgb.v":82:2:82:7|Removing sequential instance data_tmp3[2] (in view: work.bayer_rgb(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\video_format_detect.v":84:2:84:7|Removing sequential instance vd_hres_reg[11] (in view: work.video_format_detect(verilog)) because it does not drive other instances.
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\video_format_detect.v":84:2:84:7|Removing sequential instance vd_hres_reg[12] (in view: work.video_format_detect(verilog)) because it does not drive other instances.
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\video_format_detect.v":84:2:84:7|Removing sequential instance vd_hres_reg[13] (in view: work.video_format_detect(verilog)) because it does not drive other instances.
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\video_format_detect.v":84:2:84:7|Removing sequential instance vd_hres_reg[14] (in view: work.video_format_detect(verilog)) because it does not drive other instances.
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\video_format_detect.v":84:2:84:7|Removing sequential instance vd_hres_reg[15] (in view: work.video_format_detect(verilog)) because it does not drive other instances.
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\video_format_detect.v":70:2:70:7|Removing sequential instance vd_hres[11] (in view: work.video_format_detect(verilog)) because it does not drive other instances.
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\video_format_detect.v":70:2:70:7|Removing sequential instance vd_hres[12] (in view: work.video_format_detect(verilog)) because it does not drive other instances.
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\video_format_detect.v":70:2:70:7|Removing sequential instance vd_hres[13] (in view: work.video_format_detect(verilog)) because it does not drive other instances.
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\video_format_detect.v":70:2:70:7|Removing sequential instance vd_hres[14] (in view: work.video_format_detect(verilog)) because it does not drive other instances.
@N: BN362 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\video_format_detect.v":70:2:70:7|Removing sequential instance vd_hres[15] (in view: work.video_format_detect(verilog)) because it does not drive other instances.
@N: MO231 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\bayer_to_rgb\video_format_detect.v":58:2:58:7|Found counter in view:work.video_format_detect(verilog) instance hcnt[15:0] 
@N: FX493 |Applying initial value "1" on instance u0_dma_frame_buffer.u_dma_write_ctrl.dma_vs_n_d0.
@N: FX493 |Applying initial value "1" on instance u0_dma_frame_buffer.u_dma_write_ctrl.dma_vs_n_d1.
@N: FX493 |Applying initial value "1" on instance u0_dma_frame_buffer.u_dma_write_ctrl.dma_vs_n_d2_0.
@N: FX493 |Applying initial value "1" on instance u0_dma_frame_buffer.u_dma_read_ctrl.dma_vs_n_d0.
@N: FX493 |Applying initial value "1" on instance u0_dma_frame_buffer.u_dma_read_ctrl.dma_vs_n_d1.
@N: FX493 |Applying initial value "1" on instance u0_dma_frame_buffer.u_dma_read_ctrl.dma_vs_n_d2_0.
@N: FX493 |Applying initial value "1" on instance u0_dma_frame_buffer.u_dma_frame_ctrl.vout_vs_n_sync0.
@N: FX493 |Applying initial value "1" on instance u0_dma_frame_buffer.u_dma_frame_ctrl.vout_vs_n_sync1.
@N: FX493 |Applying initial value "1" on instance u0_dma_frame_buffer.u_dma_frame_ctrl.vout_vs_n_sync2_0.
@N: FX493 |Applying initial value "1" on instance u0_dma_frame_buffer.u_dma_frame_ctrl.vin_vs_n_sync0.
@N: FX493 |Applying initial value "1" on instance u0_dma_frame_buffer.u_dma_frame_ctrl.vin_vs_n_sync1.
@N: FX493 |Applying initial value "1" on instance u0_dma_frame_buffer.u_dma_frame_ctrl.vin_vs_n_sync2_0.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_00 = 001FFFFE001FFFFA0013E7EA000DFFEF00139EEF0013A7DF001FF3FA001FFFFE.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_01 = 0011F01F0011F7FF0011FB9F0011FFFF00130FBB001326BF00132BBB00132FDF.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_02 = 0011D0BF0011D7F70011DBFF0011DFEB0011E1630011E7E70011EB630011EFD7.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_03 = 00117BFF00117FE70011AB3B0011AF3B0011C37F0011C7F30011C9F70011CFE7.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_04 = 0013347500133F450013CFF00013DBB40013DE6C00139FED0013B691000B0BFF.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_05 = 0000000000000000000000000000000000000000001FFFFA00132EED00133371.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_06 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_07 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_08 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_09 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_0A = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_0B = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_0C = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_0D = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_0E = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_0F = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_10 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_11 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_12 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_13 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_14 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_15 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_16 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_17 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_18 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_19 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_1A = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_1B = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_1C = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_1D = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_1E = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_1F = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_20 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_21 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_22 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_23 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_24 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_25 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_26 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_27 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_28 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_29 = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_2A = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_2B = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_2C = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_2D = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_2E = 0000000000000000000000000000000000000000000000000000000000000000.
@N: FX276 :"j:\source_bac\gowin_board\gw2a_lv18pg484\test_prj\dk_video_csi_720_lvcmos12\src\ov5647_init\ov5647_registers.v":79:8:79:11|Initial value OV5647_Controller_inst.Regs.sreg_3_0_0.INIT_RAM_2F = 0000000000000000000000000000000000000000000000000000000000000000.
